eval/episode_reward,eval/episode_success,eval/episode_success_any,eval/episode_success_hard,eval/episode_success_easy,eval/episode_reward_dist,eval/episode_reward_near,eval/episode_reward_ctrl,eval/episode_dist,eval/episode_reward_survive,training/actor_loss,training/critic_loss,training/contrastive_loss,training/contrastive_reward_mean,training/contrastive_reward_max,training/contrastive_reward_min,training/knn_coverage,training/mean_coverage,training/sps,training/entropy,training/alpha,training/alpha_loss,training/entropy,training/grad_steps,training/num_visited_unique_state,training/visited_state_entorpy,training/categorical_accuracy,training/logits_pos,training/logits_neg,training/logsumexp,training/binary_accuracy,training/actions_mean,training/actions_std,training/gamma_contrastive_model,training/temperature,training/logits_std,training/logits_var,training/ctec_rwd_scale,training_steps
0.6640625,0.6640625,0.03125,,17.296875,,,-2558.7109375,23532.150390625,962.703125,-102.4179458618164,4.324388027191162,4.324388027191162,3.508025884628296,7.886081218719482,2.0299408435821533,0.6522514224052429,inf,3121.3607322492107,,0.4663420021533966,2.80716872215271,,3995.5,379,4.453812870927684,0.0865088701248169,-4.33250617980957,-7.324127674102783,-0.013499206863343716,,-0.07093946635723114,0.7029058933258057,0.99,0.938499391078949,1.9472726583480835,3.8326284885406494,1.0,1206272
1.1640625,1.1640625,0.015625,,19.1015625,,,-1715.56640625,15661.873046875,707.7890625,-166.56044006347656,4.126668453216553,4.126668453216553,2.1064937114715576,5.595714569091797,1.1266443729400635,0.6563946008682251,0.6531654000282288,17804.15463650187,,0.21698789298534393,0.023788658902049065,,11987.4990234375,379,4.469659899862238,0.1153174638748169,-4.149322509765625,-7.543233871459961,-0.02790011093020439,,-0.07242951542139053,0.705167829990387,0.99,0.9475175142288208,2.005618095397949,4.0284199714660645,1.0,1333248
0.5625,0.5625,0.015625,,14.59375,,,-1584.3800048828125,15463.03515625,684.6640625,-186.9212646484375,4.061983585357666,4.061983585357666,2.021162748336792,5.669342994689941,0.9986978769302368,0.6582471132278442,0.6544988751411438,17750.797828878713,,0.16325721144676208,0.009482544846832752,,19979.5,383,4.485211018814208,0.1284976303577423,-4.09185266494751,-7.5876665115356445,-0.035757552832365036,,-0.07491634786128998,0.709387481212616,0.99,0.9565154910087585,1.9964526891708374,3.990976572036743,1.0,1460224
0.0,0.0,0.0,,0.4453125,,,-1759.257568359375,17656.66015625,762.1796875,-193.3127899169922,4.020576000213623,4.020576000213623,1.9477792978286743,5.854341506958008,0.8946969509124756,0.6512095332145691,0.6551820039749146,17944.65715830925,,0.1130843535065651,0.01087202038615942,,27971.5,385,4.498711510117044,0.13553348183631897,-4.056936740875244,-7.61095666885376,-0.042609818279743195,,-0.07594848424196243,0.7131451368331909,0.99,0.9698045253753662,1.976171851158142,3.9099457263946533,1.0,1587200
2.5703125,2.5703125,0.0234375,,13.0859375,,,-1898.048828125,18555.25390625,815.0078125,-191.15093994140625,3.9873740673065186,3.9873740673065186,1.93374764919281,5.6490678787231445,0.8637304902076721,0.661722719669342,0.6554108262062073,17772.489403316944,,0.08890505135059357,0.003738161874935031,,35963.5,385,4.5099424966141894,0.14143000543117523,-4.026889324188232,-7.638648509979248,-0.04589695855975151,,-0.0760035589337349,0.71729576587677,0.99,0.9758738875389099,1.9743975400924683,3.902520179748535,1.0,1714176
0.1875,0.1875,0.0078125,,6.09375,,,-2033.939208984375,22326.69921875,888.65625,-187.9829559326172,3.9603958129882812,3.9603958129882812,1.9054605960845947,5.731154441833496,0.8057645559310913,0.6471468806266785,0.6551939845085144,17713.936365580008,,0.07707229256629944,0.002554358448833227,,43955.5,386,4.521758515132448,0.14505228400230408,-4.003774642944336,-7.655771732330322,-0.04998123645782471,,-0.07666845619678497,0.7220292687416077,0.99,0.9811520576477051,1.9636900424957275,3.859933614730835,1.0,1841152
0.0703125,0.0703125,0.0078125,,7.390625,,,-2110.69677734375,22220.53125,929.0,-186.1773223876953,3.9618451595306396,3.9618451595306396,1.9451632499694824,5.563177585601807,0.8600082993507385,0.6411359906196594,0.6534218192100525,17723.334069587094,,0.0706954225897789,0.0023711801040917635,,51947.5,387,4.5313852038940885,0.14638124406337738,-4.007876396179199,-7.635157585144043,-0.052799295634031296,,-0.07649664580821991,0.7244955897331238,0.99,0.9862229228019714,1.9368963241577148,3.7552947998046875,1.0,1968128
0.0625,0.0625,0.015625,,7.0703125,,,-1966.0479736328125,20496.8046875,839.1328125,-186.57089233398438,3.947089195251465,3.947089195251465,1.9212660789489746,5.545976161956787,0.8113334774971008,0.6414042115211487,0.6513715982437134,17724.130343670637,,0.06334634125232697,0.00261779990978539,,59939.5,390,4.542020104157931,0.1486510932445526,-3.9953410625457764,-7.625650882720947,-0.05502808839082718,,-0.0768580436706543,0.7291319370269775,0.99,0.9894963502883911,1.9152743816375732,3.6715102195739746,1.0,2095104
0.609375,0.609375,0.0078125,,2.9609375,,,-1763.5714111328125,17485.767578125,726.8515625,-186.32568359375,3.9345881938934326,3.9345881938934326,1.9234031438827515,5.714945316314697,0.7638052701950073,0.6292344331741333,0.6492307782173157,17901.042717427077,,0.05791303142905235,0.0012294932967051864,,67931.5,390,4.552459451535892,0.15026012063026428,-3.982976198196411,-7.6360979080200195,-0.05521313473582268,,-0.07873692363500595,0.7323483228683472,0.99,0.9891669750213623,1.9097868204116821,3.6502909660339355,1.0,2222080
0.0859375,0.0859375,0.0078125,,2.2109375,,,-2230.66796875,23769.73046875,932.28125,-186.82858276367188,3.9353482723236084,3.9353482723236084,1.9517723321914673,5.579858303070068,0.8103238940238953,0.613461971282959,0.647549033164978,17945.82356295343,,0.05328414961695671,0.0014180203434079885,,75923.5,391,4.562022969743878,0.15056119859218597,-3.9844307899475098,-7.602410316467285,-0.055961377918720245,,-0.07857999950647354,0.7350652813911438,0.99,0.9913492202758789,1.8725043535232544,3.5090110301971436,1.0,2349056
